f1,f2
3.9999781044,0.0000000000
0.0000000029,3.9997846704
1.6867910451,0.4917302445
0.7988090591,1.2237643118
0.5106057722,1.6523384027
0.1025359126,2.8216867404
0.8550033479,1.1563477047
3.8312420643,0.0018185205
1.1690509492,0.8441445702
0.5807341334,1.5324975721
2.0976099607,0.3043587689
0.8998143551,1.1054725569
0.0798612576,2.9494718902
0.4120797434,1.8443422384
1.2165052056,0.8046934134
3.9265964658,0.0003398807
1.9987674971,0.3436565386
0.4492697053,1.7681663345
3.0863751522,0.0591422377
0.7228844794,1.3219799423
1.0543691794,0.9470699609
0.6834276619,1.3766403101
0.0223842088,3.4239300826
0.2945003930,2.1237847765
3.5885340525,0.0111634769
0.0131832616,3.5539097205
3.1503019268,0.0506659623
2.6149239996,0.1466333449
0.0342567786,3.2939133062
2.7962884043,0.1074458685
3.7120180149,0.0053787838
0.1368646582,2.6570557072
0.0215224075,3.4347017199
1.3282219185,0.7182814963
0.2722883431,2.1850381210
0.2057892624,2.3912292061
2.2130961166,0.2625047287
0.1144542177,2.7612108975
0.1238724725,2.7160516176
0.6593940046,1.4112708429
3.7243041599,0.0049216355
0.3925739916,1.8863449786
1.1127426672,0.8932779292
0.2598700231,2.2207720927
3.0118383101,0.0699788358
2.7287741497,0.1211734963
0.1617992880,2.5528279994
0.5943640737,1.5105636296
1.1048289110,0.9003952302
0.0444463331,3.2011543734
2.0487250000,0.3233778490
1.4112410349,0.6594143800
1.8328111940,0.4175568967
0.7507014302,1.2849803100
2.8869701586,0.0905356126
3.4413641759,0.0209984966
0.0039563082,3.7523595443
2.8507076412,0.0970921458
2.4882283498,0.1785806895
0.3129862779,2.0751792160
1.5848901373,0.5491933437
1.9347963384,0.3709180674
0.0348168263,3.2884461272
0.1837007308,2.4692878014
2.5674267959,0.1581500244
3.3286868471,0.0308111594
0.6251857976,1.4624381375
2.6894731274,0.1296278519
1.2638631603,0.7669964105
1.0247600472,0.9755427457
2.2443284200,0.2518952981
0.0017261238,3.8355395408
0.9417996515,1.0599451431
1.5848901373,0.5491933437
2.4820972832,0.1802279945
0.9849045019,1.0152103033
0.3715380135,1.9333812885
0.0069208856,3.6741534442
2.3565958293,0.2161126831
1.7398941679,0.4636922493
3.2911003156,0.0345443109
0.3469063627,1.9909560654
0.1495510500,2.6026778165
2.4142382018,0.1991105902
1.2841500050,0.7513363005
0.6327942011,1.4508596923
1.3740047304,0.6852868154
1.5100129129,0.5947096052
0.0514266422,3.1443289215
1.7921442598,0.4373045650
0.9551658993,1.0458623311
2.9825071396,0.0745324557
1.3615164245,0.6941549866
1.7449109911,0.4611078288
3.2173607220,0.0425595713
0.2417199652,2.2751189781
3.2491987520,0.0389851607
1.8841880144,0.3935588856
0.0592906303,3.0853039339
1.8738123910,0.3983217047
