f1,f2
3.9997268023,0.0000000047
0.0000000003,4.0000659234
1.0679267460,0.9343050971
0.2362201834,2.2921206658
0.9592305889,1.0416178690
1.1300436613,0.8779031908
0.1904570109,2.4448017831
1.8756191389,0.3974893283
0.1782164704,2.4895887655
2.5333511020,0.1667493686
2.4375032061,0.1925011006
1.4056248281,0.6632628375
2.0890390018,0.3076357095
0.1398492406,2.6439923459
1.5505040810,0.5697345324
0.3328415253,2.0251447505
0.4388068823,1.7891068773
3.6720709563,0.0070115762
0.8393392942,1.1747208001
2.3666583905,0.2130794117
1.9770235408,0.3527567750
1.8259473642,0.4208425709
0.7979828208,1.2247874535
0.2550151278,2.2350542261
1.4838557108,0.6113110601
2.9533027023,0.0792323479
0.9147460487,1.0890517615
0.3597274537,1.9606361133
2.1498905871,0.2848885075
0.6890374538,1.3687062564
0.1019064429,2.8249949010
2.6705307945,0.1338272895
3.1310564925,0.0531398583
3.7918973367,0.0027794542
0.0177106200,3.4853856067
2.0092733970,0.3393197506
2.9083091865,0.0868029757
2.1898813138,0.2705822826
0.4060755814,1.8571131842
0.1200278843,2.7342262577
1.3568805304,0.6974719321
1.7232947553,0.4723218850
3.7955280892,0.0026820477
3.9009990081,0.0006202748
1.7708923922,0.4478971569
1.4966035252,0.6031736030
0.0037498818,3.7588047671
2.2432561478,0.2522546986
2.6072884912,0.1484483585
0.7303300872,1.3119560007
3.5405222857,0.0140120338
3.2703646889,0.0367048253
0.5704028731,1.5494020507
0.1396692956,2.6447750755
0.1211475667,2.7288972060
3.6203366354,0.0094637442
0.5372793733,1.6053056401
0.3106300231,2.0812623169
3.0329220424,0.0668074382
1.6071440658,0.5362166306
0.0080815468,3.6484918507
3.9230963151,0.0003732326
2.3155686038,0.2287716086
0.4016857209,1.8665384797
0.4912472965,1.6876858572
0.0224527143,3.4230835220
0.6071084330,1.4904219027
3.3912567443,0.0251106754
2.8401155721,0.0990585961
3.1898578986,0.0457885836
1.2274185956,0.7958615860
1.1947076502,0.8226003319
3.3112285801,0.0325159686
0.8726538362,1.1360161257
3.2131264006,0.0430481298
0.6424321028,1.4363576113
0.0112479132,3.5870231960
1.2993062764,0.7398216101
1.1947076502,0.8226003319
0.0659736865,3.0385599507
0.0979914091,2.8458482282
0.0765769838,2.9696751177
0.4758007316,1.7166683127
1.6799744115,0.4954213368
1.6400974772,0.5174458557
0.2935112166,2.1264441974
2.7703790545,0.1125967757
0.5092480599,1.6547833188
0.0017970498,3.8322305549
0.2751286751,2.1770202887
0.0649210544,3.0457366402
0.0884214605,2.8989916107
0.3761946320,1.9228063399
1.3392830282,0.7101871714
0.0002601420,3.9357444752
0.0065459484,3.6829178071
2.8482384151,0.0975484769
0.0507585452,3.1495722586
0.0048269765,3.7269211936
2.6191776719,0.1456282011
